course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
gb-c-c-cbe1fa91,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 루나엑스C.C / 경주시 천북면 천강로 412-299 / 대중제,true,full_safe_batch_4
gb-c-c-79faaa09,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 애플밸리C.C / 김천시 어모면 작점로 606 / 대중제,true,full_safe_batch_4
gb-c-c-05cc08d4,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 포도C.C / 김천시 구성면 남김천대로 2532 / 대중제,true,full_safe_batch_4
gb-c-c-88d914d7,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 남안동C.C / 안동시 일직면 풍일로 1887 / 회원제,true,full_safe_batch_4
gb-c-c-1f25ec74,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 안동리버힐C.C / 안동시 풍천면 풍일로 1572 / 회원제,true,full_safe_batch_4
gb-course-d9e74f32,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 안동레이크골프클럽 / 안동시 관광단지로 316 / 대중제,true,full_safe_batch_4
gb-course-9edc6ef0,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 선산 / 구미시 산동면 강동로 953-73 / 회원제,true,full_safe_batch_4
gb-course-76cf04f3,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 구미 / 구미시 산동면 강동로 953-74 / 대중제,true,full_safe_batch_4
gb-c-c-f04000cd,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 구미C.C / 구미시 장천면 송백로 229 / 대중제,true,full_safe_batch_4
gb-g-c-fabaeb70,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 오펠G.C / 영천시 고경면 호국로 1221-24 / 회원제,true,full_safe_batch_4
gb-c-c-46be2af7,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 영천C.C / 영천시 임고면 방목길 34-2 / 회원제,true,full_safe_batch_4
gb-g-c-1ba5cc5b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 시엘G.C / 영천시 청통면 청통로 334-41 / 대중제,true,full_safe_batch_4
gb-course-30b079c2,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 청통골프장 / 영천시 청통면 청통로 733 / 대중제,true,full_safe_batch_4
gb-course-5bf73394,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 블루원상주골프리조트 / 상주시 모서면 화현3길 127 / 대중제,true,full_safe_batch_4
gb-ii-db71420d,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 뉴스프링빌Ⅱ / 상주시 모서면 백화로 40 / 대중제,true,full_safe_batch_4
gb-course-cee6a48d,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 문경레저타운골프장 / 문경시 마성면 문경골프장길 240 / 대중제,true,full_safe_batch_4
gb-c-c-e29b3857,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 대구C.C / 경산시 진량읍 일연로 718-42 / 회원제,true,full_safe_batch_4
gb-course-3714471d,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 인터불고컨트리클럽 / 경산시 삼성현로 614-26 / 회원제,true,full_safe_batch_4
