input_name,staging_name,notes
"남서울CC","남서울컨트리클럽","auto from realistic dry-run 2026-03-29"
"레이크우드","레이크우드 골프장","auto from realistic dry-run 2026-03-29"
"오크밸리","오크밸리회원제골프장","auto from realistic dry-run 2026-03-29"
"벨라스톤","벨라스톤컨트리클럽","auto from realistic dry-run 2026-03-29"
"사우스스프링스","사우스스프링스C.C.","auto from realistic dry-run 2026-03-29"
"제이드팰리스","제이드팰리스 골프클럽","auto from realistic dry-run 2026-03-29"
"롯데스카이힐 제주","㈜호텔롯데스카이힐제주CC","auto from realistic dry-run 2026-03-29"
"블랙스톤 이천","블랙스톤리조트이천","auto from realistic dry-run 2026-03-29"
